,0,1,2,3,4,5,Label
0,1,2,3,4,5,3,2
1,1,6,7,1,2,3,4
2,5,3,2,1,8,9,2
3,3,8,10,5,1,11,10
4,11,12,2,3,8,4,13
5,8,3,2,3,0,1,2
6,3,4,5,11,10,4,10
7,0,1,2,3,10,5,6
8,14,3,14,0,2,3,14
9,10,15,1,11,10,4,16
10,11,1,2,17,12,2,1
11,11,1,18,10,11,1,17
12,12,4,19,17,19,9,10
13,11,1,20,15,1,11,10
14,11,21,4,10,11,20,12
15,22,17,20,17,21,4,10
16,11,17,12,2,23,11,23
17,21,10,11,23,17,24,4
18,22,17,20,25,22,4,10
19,13,9,1,11,10,26,27
20,20,17,22,13,7,22,17
21,20,5,27,10,11,1,17
22,7,4,19,17,28,27,19
23,4,10,28,7,1,11,10
24,14,27,29,3,14,11,7
25,30,6,14,6,27,3,14
26,6,11,7,2,23,11,23
27,18,3,8,6,10,24,6
28,8,3,8,31,2,3,8
29,10,9,1,32,10,32,31
30,23,2,3,4,24,32,10
31,4,22,31,2,3,8,10
32,9,1,11,10,11,21,2
33,3,8,4,16,8,3,2
34,3,33,1,2,3,4,0
35,32,10,4,10,33,22,4
36,10,13,0,10,4,22,17
37,33,5,20,17,12,0,34
38,35,12,35,33,5,20,17
39,35,0,4,19,17,19,33
40,20,17,19,35,15,5,34
41,35,12,36,34,5,20,12
42,7,22,17,20,37,18,12
43,35,34,12,24,34,35,12
44,38,9,20,17,22,35,38
45,5,13,35,39,18,13,5
46,20,39,9,22,17,20,11
47,38,26,10,11,17,39,2
48,1,11,1,18,10,11,1
49,17,35,4,19,17,19,9
50,10,32,1,20,15,1,32
51,10,32,21,4,10,32,20
52,12,22,17,20,17,0,4
53,10,32,5,7,32,10,4
54,10,25,22,4,10,5,38
55,10,4,22,1,18,22,4
56,10,5,38,10,4,22,32
57,21,4,10,32,20,38,22
58,17,20,17,0,4,10,32
59,5,7,32,10,4,10,25
60,22,4,10,5,38,17,20
61,5,20,25,22,4,10,20
62,38,1,11,10,11,25,4
63,10,11,20,16,22,17,20
64,5,27,17,22,4,35,0
65,4,22,17,22,31,20,17
66,22,35,0,5,13,35,13
67,21,20,17,22,12,16,22
68,17,20,17,33,5,20,17
69,12,0,17,20,5,4,27
70,17,22,4,5,12,32,10
71,4,10,25,22,4,10,5
72,38,10,4,22,1,18,10
73,11,1,19,5,29,2,1
74,11,21,4,10,11,20,38
75,22,17,20,4,7,1,2
76,3,10,0,6,8,3,8
77,9,21,11,1,2,4,16
78,8,3,2,3,0,10,11
79,1,19,18,3,2,1,11
80,21,22,9,4,7,26,38
81,20,16,22,9,28,0,20
82,16,28,0,1,40,2,38
83,29,12,11,9,2,38,1
84,40,11,9,1,40,41,0
85,6,9,8,40,29,21,2
86,36,1,42,11,21,1,43
87,29,2,1,30,14,6,30
88,29,43,1,2,29,10,19
89,4,10,20,17,19,4,10
90,11,1,2,29,21,11,1
91,12,4,26,38,22,2,16
92,22,4,40,28,1,0,28
93,22,9,20,11,38,20,20
94,44,35,45,1,46,47,48
95,49,50,51,52,53,46,47
96,48,5,54,54,45,45,55
97,1,56,9,11,38,57,57
98,53,58,48,59,35,35,12
99,38,7,38,50,7,51,46
100,60,9,17,0,17,20,9
101,5,13,21,61,17,12,17
102,35,62,20,38,5,20,13
103,12,38,48,53,5,7,58
104,48,59,7,10,38,10,9
105,4,13,12,22,21,17,5
106,0,19,9,50,4,13,7
107,51,46,60,9,3,35,7
108,3,0,2,19,9,1,11
109,4,12,21,61,6,11,58
110,50,63,6,64,6,1,10
111,65,8,1,48,63,58,8
112,66,8,11,4,67,3,1
113,4,53,58,48,2,11,22
114,59,1,10,17,18,2,22
115,18,11,4,20,21,11,25
116,11,4,5,27,65,46,10
117,5,38,53,51,68,7,8
118,13,38,8,9,3,26,7
119,2,1,10,35,46,53,51
120,68,30,15,6,30,14,14
121,1,10,3,14,2,10,19
122,2,10,19,1,2,11,4
123,20,11,4,20,50,51,46
124,60,6,7,8,6,3,3
125,32,4,2,3,1,4,17
126,1,4,17,32,1,10,22
127,5,10,22,5,63,69,50
128,70,63,9,69,50,70,0
129,2,36,2,1,0,32,10
130,38,11,12,1,53,35,58
131,48,59,12,10,38,10,9
132,11,4,12,22,21,1,17
133,46,53,51,4,68,53,1
134,35,58,48,59,12,30,38
135,30,9,6,32,12,8,21
136,3,32,0,65,8,10,63
137,9,69,50,8,70,8,4
138,20,34,6,20,12,3,5
139,3,34,0,3,22,35,38
140,71,2,10,22,48,63,58
141,66,4,17,36,23,36,2
142,18,3,21,10,4,17,25
143,72,27,10,22,20,25,32
144,20,7,21,22,20,38,18
145,12,17,37,35,12,48,20
146,38,9,63,58,66,8,35
147,12,35,38,20,35,38,7
148,38,13,38,9,13,38,9
149,0,9,12,9,16,50,12
150,9,16,51,46,60,3,12
151,38,12,7,5,12,7,9
152,7,35,7,0,35,7,0
153,16,0,38,0,18,63,38
154,0,18,69,50,70,2,38
155,7,38,9,13,38,9,0
156,9,12,9,16,12,9,16
157,18,16,7,16,21,58,7
158,16,21,50,63,64,1,46
159,53,51,1,68,1,22,48
160,63,58,2,66,51,46,12
161,11,51,46,53,12,3,17
162,5,53,58,48,59,30,38
163,6,30,8,8,1,10,3
164,8,2,10,22,2,10,22
165,1,2,11,4,20,11,55
166,38,25,1,4,17,58,63
167,48,1,4,17,51,1,10
168,17,46,51,50,2,10,22
169,70,51,4,20,21,51,11
170,1,21,1,4,17,33,65
171,46,38,53,51,68,2,10
172,20,51,48,53,73,50,7
173,51,46,60,1,4,5,46
174,53,51,68,63,48,69,63
175,50,58,70,66,51,50,48
176,51,53,46,73,60,58,53
177,50,58,63,48,64,59,30
178,22,11,4,20,38,1,4
179,17,7,2,11,22,9,3
180,1,4,0,17,5,12,36
181,22,5,35,18,4,17,34
182,21,10,22,5,25,10,5
183,22,27,11,20,22,31,1
184,17,4,33,17,5,12,21
185,20,13,38,5,12,7,33
